id,ident,type,name,elevation_ft,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
335,05IS,small_airport,Hardy Airport,605,US,US-IL,Mount Auburn,05IS,0,05IS,"-89.26399993896484, 39.72589874267578"
336,05KS,small_airport,Darbro Field,945,US,US-KS,Elk City,05KS,0,05KS,"-95.95919799804688, 37.26620101928711"
337,05KY,small_airport,Cartersville Airport,1070,US,US-KY,Berea,05KY,0,05KY,"-84.40720367, 37.53689957"
338,05LA,small_airport,Greg's Flying Service Airport,76,US,US-LA,Baskin,05LA,0,05LA,"-91.69779968261719, 32.26530075073242"
339,05LL,heliport,Midwest Heliport,710,US,US-IL,Willowbrook,05LL,0,05LL,"-87.93509674072266, 41.7489013671875"
340,05LS,small_airport,Grass Roots Airport,83,US,US-LA,Alexandria,05LS,0,05LS,"-92.47579956054688, 31.252199172973633"
341,05M,heliport,Pauls Valley General Hospital Heliport,911,US,US-OK,Pauls Valley,0,0,0,"-97.214237, 34.71979"
342,05MA,heliport,Bentley Heliport,80,US,US-MA,Ipswich,05MA,0,05MA,"-70.91230010986328, 42.691200256347656"
343,05MD,small_airport,Breezecroft Airport,20,US,US-MD,Chestertown,05MD,0,05MD,"-76.2052001953125, 39.250099182128906"
344,05ME,small_airport,Drisko Airport,70,US,US-ME,Jonesboro,05ME,0,05ME,"-67.55919647216797, 44.65700149536133"
345,05MN,heliport,Northern Pines Medical Center Heliport,1446,US,US-MN,Aurora,05MN,0,05MN,"-92.2302778, 47.5175001"
346,05MO,heliport,Portageville Community Heliport,272,US,US-MO,Portageville,05MO,0,05MO,"-89.68009948730469, 36.4297981262207"
347,05MS,heliport,Va Medical Center Jackson Heliport,359,US,US-MS,Jackson,05MS,0,05MS,"-90.16809844970703, 32.31890106201172"
348,05MT,small_airport,Jones Landing,4364,US,US-MT,Belgrade,05MT,0,05MT,"-111.152163, 45.815368"
349,05NC,closed,Brunswick Community Hospital Heliport,63,US,US-NC,Supply,0,0,0,"-78.2911, 34.008099"
350,05NE,small_airport,Mc Kay Airport,2010,US,US-NE,Spalding,05NE,0,05NE,"-98.3089981079, 41.7221984863"
351,05NH,heliport,Stumpfield Heliport,200,US,US-NH,Kensington,05NH,0,05NH,"-70.95140075683594, 42.92390060424805"
352,05NJ,heliport,Paulus Hook Pier Heliport,7,US,US-NJ,Jersey City,05NJ,0,05NJ,"-74.03150177001953, 40.7140007019043"
353,05NV,small_airport,Baker Ranches Airport,5180,US,US-NV,Baker,05NV,0,05NV,"-114.088219, 39.0311"
354,05NY,heliport,Oswego County At Pulaski Heliport,445,US,US-NY,Pulaski,05NY,0,05NY,"-76.09020233154297, 43.551998138427734"
355,05OI,small_airport,Dorlon Airpark,830,US,US-OH,Columbia Station,05OI,0,05OI,"-81.96260070800781, 41.28839874267578"
356,05OK,closed,Hawk Haven Airport,1075,US,US-OK,Crescent,0,0,0,"-97.567497, 35.8534"
357,05OR,small_airport,Peacock Ranch Airport,3500,US,US-OR,Enterprise,05OR,0,05OR,"-117.35099792480469, 45.44150161743164"
358,05PA,heliport,PECO Mob. Heliport,110,US,US-PA,Philadelphia,05PA,0,05PA,"-75.178201, 39.9548"
359,05PN,heliport,State Police Area Iii Heliport,485,US,US-PA,Harrisburg,05PN,0,05PN,"-76.85800170898438, 40.30009841918945"
360,05PS,small_airport,Mills Brothers Airport,1210,US,US-PA,Burnt Cabins,05PS,0,05PS,"-77.86190032958984, 40.142799377441406"
361,05S,small_airport,Vernonia Airfield,647,US,US-OR,Vernonia,05S,0,05S,"-123.24199676513672, 45.85150146484375"
362,05TA,small_airport,Brandes Air Field,276,US,US-TX,Sealy,05TA,0,05TA,"-96.26509857177734, 29.809099197387695"
363,05TE,small_airport,Hilde-Griff Field,950,US,US-TX,Georgetown,05TE,0,05TE,"-97.79139709472656, 30.72209930419922"
364,05TN,closed,Thurmond Glenn Field,285,US,US-TN,Covington,0,0,0,"-89.552903, 35.556998"
365,05TS,small_airport,Dew Drop Airport,750,US,US-TX,Justin,05TS,0,05TS,"-97.35859680175781, 33.12929916381836"
366,05TX,small_airport,Circle 'A' Ranch Airport,608,US,US-TX,Blum,05TX,0,05TX,"-97.4041976928711, 32.12919998168945"
367,05UT,small_airport,Oljato Airport,4838,US,US-UT,Oljato,05UT,0,05UT,"-110.31700134277344, 37.03329849243164"
368,05V,small_airport,Blanca Airport,7720,US,US-CO,Blanca,05V,0,05V,"-105.552001953125, 37.41109848022461"
369,05VA,small_airport,Providence Airport,445,US,US-VA,Farmville,05VA,0,05VA,"-78.4186019897461, 37.22420120239258"
370,05VT,heliport,Port of Highgate Springs Heliport,68,US,US-VT,Highgate Springs,05VT,0,05VT,"-73.08670043945312, 45.013301849365234"
371,05WA,heliport,Sacred Heart Medical Center Helistop,2220,US,US-WA,Spokane,05WA,0,05WA,"-117.41400146484375, 47.64820098876953"
372,05WI,small_airport,Ames Private Airport,958,US,US-WI,Darien,05WI,0,05WI,"-88.74590301513672, 42.651100158691406"
373,05WN,small_airport,Flat Creek Field,1570,US,US-WA,Kettle Falls,05WN,0,05WN,"-118.0475, 48.702222"
374,05XS,small_airport,Johnson Memorial Airport,105,US,US-AR,Wilmot,05XS,0,05XS,"-91.54319763183594, 33.07929992675781"
375,05Y,small_airport,Henning Municipal Airport,1455,US,US-MN,Henning,05Y,0,05Y,"-95.43949890136719, 46.30379867553711"
376,06AK,small_airport,June Lake Airpark,425,US,US-AK,Wasilla,06AK,0,06AK,"-149.575331, 61.627619"
377,06AL,heliport,Brown Stagefield Army Heliport,415,US,US-AL,Fort Rucker/New Brockton,06AL,0,06AL,"-85.97239685058594, 31.388399124145508"
378,06AR,small_airport,Bondair Airport,499,US,US-AR,Higden,06AR,0,06AR,"-92.18489837646484, 35.544498443603516"
379,06AZ,heliport,Mercy Gilbert Medical Center Heliport,1280,US,US-AZ,Gilbert,06AZ,0,06AZ,"-111.751454, 33.287759"
380,06B,seaplane_base,Lucky Landing Marina and Seaplane Base,115,US,US-ME,Bangor,06B,0,06B,"-68.8050003052, 44.907001495399996"
381,06CA,heliport,Sce Solar I Heliport,1942,US,US-CA,Yermo,06CA,0,06CA,"-116.83399963378906, 34.87080001831055"
382,06CL,heliport,Abc7-Tv Heliport,520,US,US-CA,Glendale,06CL,0,06CL,"-118.28900146484375, 35.15719985961914"
383,06CO,small_airport,Jecan Airport,5100,US,US-CO,Branson,06CO,0,06CO,"-103.69100189208984, 37.38750076293945"
384,06FA,small_airport,William P Gwinn Airport,28,US,US-FL,Jupiter,06FA,0,06FA,"-80.32890319824219, 26.90839958190918"
385,06FD,small_airport,Grass Roots Airpark,105,US,US-FL,Mascotte,06FD,0,06FD,"-81.88500213623047, 28.641700744628906"
386,06FL,heliport,Morton Plant Hospital Heliport,3,US,US-FL,Clearwater,06FL,0,06FL,"-82.8042984008789, 27.953399658203125"
387,06GA,heliport,Smith Heliport,1065,US,US-GA,Redan,06GA,0,06GA,"-84.16210174560547, 33.75339889526367"
388,06I,seaplane_base,Patoka Reservoir Landing Area Seaplane Base,536,US,US-IN,French Lick,06I,0,06I,"-86.69110107421875, 38.43339920043945"
389,06IA,small_airport,Rich Field,880,US,US-IA,Walford,06IA,0,06IA,"-91.83429718017578, 41.841400146484375"
390,06ID,small_airport,Larkin Airport,2750,US,US-ID,Kuna,06ID,0,06ID,"-116.35900115966797, 43.46269989013672"
391,06IL,small_airport,Humm Airport,708,US,US-IL,Earlville,06IL,0,06IL,"-88.86990356445312, 41.5994987487793"
392,06IN,closed,Ellis Fly-In Airport,575,US,US-IN,Blackhawk,0,0,0,"-87.303596, 39.282799"
393,06IS,small_airport,Sinele Strip,695,US,US-IL,Nauvoo,06IS,0,06IS,"-91.27429962158203, 40.5463981628418"
394,06KS,heliport,Riverside Hospital Airlift Heliport,1332,US,US-KS,Wichita,06KS,0,06KS,"-97.37249755859375, 37.69580078125"
395,06KY,closed,Falcon Heliport,751,US,US-KY,Jackson,0,0,0,"-83.344901, 37.525902"
